API/UWI,Operator Alias,Well/Lease Name,Well Number,Entity Type,County/Parish,Reservoir,Production Type,Producing Status,Drill Type,First Prod Date,Last Prod Date,Cum Gas,Cum Oil,Cum BOE,Cum Water,Cum MMCFGE,Cum BCFGE,Daily Gas,Daily Oil,First Month Oil,First Month Gas,First Month Water,First 6 Oil,First 6 Gas,First 6 BOE,First 6 Water,First 12 Oil,First 12 Gas,First 12 BOE,First 12 MMCFGE,First 12 Water,First 24 Oil,First 24 Gas,First 24 BOE,First 24 MMCFGE,First 24 Water,First 60 Oil,First 60 Gas,First 60 BOE,First 60 Water,First 60 MMCFGE,Prac IP Oil Daily,Prac IP Gas Daily,Prac IP CFGED,Prac IP BOE,Latest Oil,Latest Gas,Latest Water,Prior 12 Oil,Prior 12 Gas,Prior 12 Water,Last Test Date,Last Flow Pressure,Last WHSIP,2nd Month GOR,Latest GOR,Cum GOR,Last 12 Yield,2nd Month Yield,Latest Yield,Peak Gas,Peak Gas Month No.,Peak Oil,Peak Oil Month No.,Peak BOE,Peak BOE Month No.,Peak MMCFGE,Peak MMCFGE Month No.,Upper Perforation,Lower Perforation,Gas Gravity,Oil Gravity,Completion Date,Well Count,Max Active Wells,Months Produced,Gas Gatherer,Oil Gatherer,Lease Number,Spud Date,Measured Depth (TD),True Vertical Depth,Gross Perforated Interval,Field,State,District,Basin,Country,Section,Township,Range,Abstract,Block,Survey,OCS Area,PGC Area,Surface Latitude (WGS84),Surface Longitude (WGS84),Reported Operator,Last 12 Oil,Last 12 Gas,Last 12 Water,Entity ID
33053022520000,WHITEROCK OIL & GAS LLC,WRRMU,21-33HR,COM,MCKENZIE (ND),UPPER BAKKEN (BAKKEN POOL),O&G,INACTIVE,H,1989-02-01,1999-09-01,445301.0000,129071.0000,203288.0000,1566.0000,1220.0000,1.0000,,,3599,3286.0000,2,35419.0000,36189.0000,41451.0000,53.0000,70716,72383,82780.0000,497.0000,212,109005.0000,117190.0000,128537.0000,771.0000,346.0000,124685.0000,276331.0000,170740.0000,690.0000,1024.0000,218.0000,199.0000,1507032.0000,251.0000,5,23.0000,,421,13364,80,1989-02-10,,,910.00,43622.7540,3450.00,22.9240,1095.3000,217.4000,7823.0000,9,6758.0000,2,7786.0000,,47.0000,,10905.00000,12750.00000,,,1989-02-10,1,1,128,,,12533,1988-12-14,16115.00000,,1845.00,ROUGH RIDER,ND,(N/A),WILLISTON,USA,33,145N,101W,,,,(N/A),P-500,47.3414165,-103.5581768,"WHITE ROCK OIL & GAS, LLC",167.0000,7285.0000,0.0000,107292375
33053025970000,"SAMSON OIL AND GAS USA, INC.",SOSA,1-15,COM,MCKENZIE (ND),MADISON POOL,O&G,ABANDONED,H,2004-09-01,2015-05-01,170526.0000,162956.0000,191377.0000,443927.0000,1148.0000,1.0000,,,200,0.0000,0,41327.0000,34570.0000,47089.0000,20043.0000,68759,56029,78097.0000,469.0000,54258,96729.0000,77278.0000,109609.0000,658.0000,117950.0000,134632.0000,120059.0000,154642.0000,277222.0000,928.0000,610.0000,464.0000,4122100.0000,687.0000,0,10.0000,0,4206,7910,32107,2004-10-21,,,760.00,2050.0000,1050.00,487.8050,1314.3000,0.0000,10974.0000,2,12449.0000,3,14278.0000,3,86.0000,3,9299.00000,14232.00000,,,2004-10-21,1,1,128,,,15599,2004-08-19,14232.00000,,4933.00,FOREMAN BUTTE,ND,(N/A),WILLISTON,USA,15,150N,102W,,,,(N/A),P-500,47.8068653,-103.7163751,"SAMSON OIL AND GAS USA, INC",2720.0000,5576.0000,18520.0000,107292671
33053026010000,"SAMSON OIL AND GAS USA, INC.",PALMEIRO,1-14H,COM,MCKENZIE (ND),MADISON POOL,O&G,ABANDONED,H,2004-10-01,2015-05-01,65574.0000,84625.0000,95554.0000,227700.0000,573.0000,1.0000,,,4238,3324.0000,4973,22171.0000,17338.0000,25061.0000,26190.0000,35999,27980,40662.0000,244.0000,55029,48929.0000,37586.0000,55193.0000,331.0000,86499.0000,67482.0000,50779.0000,75945.0000,157920.0000,456.0000,151.0000,121.0000,1027333.0000,171.0000,,300.0000,,1537,1777,7223,2004-10-09,,,800.00,1077.1040,770.00,928.4160,1249.2000,0.0000,3628.0000,2,4532.0000,2,5137.0000,,31.0000,,9416.00000,14360.00000,,,2004-10-09,1,1,124,,,15621,2004-08-04,14360.00000,,4944.00,FOREMAN BUTTE,ND,(N/A),WILLISTON,USA,14,150N,102W,,,,(N/A),P-500,47.8065817,-103.6938545,"SAMSON OIL AND GAS USA, INC",2127.0000,2291.0000,10911.0000,107292675
33053025800000,"SAMSON OIL AND GAS USA, INC.",RUTH,1-23,COM,MCKENZIE (ND),MADISON POOL,O&G,ABANDONED,H,2004-01-01,2015-12-01,120421.0000,139497.0000,159567.0000,509548.0000,957.0000,1.0000,,,3153,0.0000,1939,19361.0000,0.0000,19361.0000,12333.0000,42627,18037,45633.0000,274.0000,34626,71494.0000,40605.0000,78261.0000,470.0000,106936.0000,107611.0000,73389.0000,119842.0000,314393.0000,719.0000,256.0000,0.0000,1534286.0000,256.0000,217,482.0000,1168,895,1950,7946,2004-01-22,,,0.00,1901.0700,860.00,526.0200,,450.2000,4459.0000,2,7160.0000,2,7161.0000,8,43.0000,8,9460.00000,13400.00000,,,2004-01-22,1,1,129,,,15511,2003-11-08,13400.00000,,3940.00,FOREMAN BUTTE,ND,(N/A),WILLISTON,USA,23,150N,102W,,,,(N/A),P-500,47.8021876,-103.7088641,"SAMSON OIL AND GAS USA, INC",1870.0000,3555.0000,11288.0000,107304000
33053026390000,"SAMSON OIL AND GAS USA, INC.",GONZALEZ,1-8H,COM,MCKENZIE (ND),MADISON POOL,O&G,INACTIVE,H,2005-09-01,2017-07-01,219766.0000,172673.0000,209301.0000,487110.0000,1256.0000,1.0000,20,10,1937,1465.0000,2110,53988.0000,41000.0000,60821.0000,32707.0000,86677,65117,97530.0000,585.0000,67136,116005.0000,93040.0000,131512.0000,789.0000,168719.0000,148079.0000,157216.0000,174282.0000,361395.0000,1046.0000,502.0000,404.0000,3415774.0000,569.0000,15,65.0000,128,0,60,0,2005-09-27,,,810.00,1335.1730,1270.00,748.9660,1241.2000,230.8000,12535.0000,2,15559.0000,2,17648.0000,,106.0000,,9711.00000,15050.00000,,,2005-09-27,1,1,127,(N/A),(N/A),15767,2005-07-24,15050.00000,,5339.00,FOREMAN BUTTE,ND,(N/A),WILLISTON,USA,05,150N,102W,,,,(N/A),P-500,47.8339968,-103.7726189,"SAMSON OIL AND GAS USA, INC",3261.0000,4354.0000,15361.0000,110607013
33053026340000,WHITING PETROLEUM CORPORATION,ROMO,3C-2-1H,COM,MCKENZIE (ND),MADISON POOL,O&G,TA,H,2005-11-01,2017-09-01,70699.0000,91693.0000,103476.0000,273612.0000,621.0000,1.0000,5,1,2662,,8521,17143.0000,0.0000,17143.0000,51177.0000,28207,,28207.0000,169.0000,83652,40995.0000,0.0000,40995.0000,246.0000,117939.0000,61939.0000,20359.0000,65332.0000,174273.0000,392.0000,115.0000,0.0000,689226.0000,115.0000,2,0.0000,0,2858,2885,8605,2005-11-15,,,0.00,3500.0000,770.00,285.7140,,,15731.0000,72,3561.0000,2,3561.0000,2,21.0000,2,9450.00000,13675.00000,,,2005-11-09,1,1,129,(N/A),(N/A),15759,2005-09-11,13675.00000,,4225.00,NAMELESS,ND,(N/A),WILLISTON,USA,03,150N,102W,,,,(N/A),P-500,47.8400642,-103.7320979,WHITING OIL AND GAS CORPORATION,4.0000,14.0000,140.0000,111924517
33053026590000,"SAMSON OIL AND GAS USA, INC.",KINGMAN,1-12H,COM,MCKENZIE (ND),MADISON POOL,O&G,INACTIVE,H,2006-07-01,2017-09-01,116449.0000,90621.0000,110029.0000,371675.0000,660.0000,1.0000,28,15,2954,1879.0000,3496,22826.0000,16356.0000,25552.0000,42773.0000,34041,24161,38068.0000,228.0000,84997,49416.0000,38399.0000,55816.0000,335.0000,156591.0000,68809.0000,63646.0000,79417.0000,243803.0000,477.0000,173.0000,129.0000,1169710.0000,195.0000,43,0.0000,156,2906,9836,21299,2006-07-24,,,740.00,2246.4900,1290.00,445.1390,1346.9000,,3993.0000,2,5378.0000,2,6044.0000,,36.0000,,10400.00000,16200.00000,,40.000000,2006-07-20,1,1,124,(N/A),(N/A),15841,2006-05-20,16200.00000,,5800.00,FOREMAN BUTTE,ND,(N/A),WILLISTON,USA,18,150N,102W,,,,(N/A),P-500,47.8185477,-103.7957500,"SAMSON OIL AND GAS USA, INC",1282.0000,2880.0000,8646.0000,115659707
33025005800000,MARATHON OIL COMPANY,CONNOLLY,31-14H,COM,DUNN (ND),MIDDLE BAKKEN (BAKKEN POOL),O&G,INACTIVE,H,2006-09-01,2017-05-01,114547.0000,168057.0000,187148.0000,39620.0000,1123.0000,1.0000,16,16,5636,2976.0000,2737,28285.0000,16799.0000,31085.0000,8851.0000,48077,30328,53132.0000,319.0000,12479,73259.0000,42629.0000,80364.0000,482.0000,18028.0000,117972.0000,75605.0000,130573.0000,26874.0000,783.0000,215.0000,187.0000,1479067.0000,247.0000,489,485.0000,92,9061,6029,2253,2006-09-23,,,870.00,836.6730,680.00,1195.2100,1152.5000,1008.2000,5606.0000,2,6461.0000,2,7395.0000,,44.0000,,10941.00000,19875.00000,,40.400000,2006-09-23,1,1,123,,,16187,2006-07-05,19875.00000,,8934.00,BAILEY,ND,(N/A),WILLISTON,USA,14,146N,94W,,,,(N/A),P-500,47.4720548,-102.6187390,MARATHON OIL COMPANY,6937.0000,5804.0000,1513.0000,116303110
33053026160000,OASIS PETROLEUM NORTH AMERICA LLC,OTT FEDERAL,1-13H,COM,MCKENZIE (ND),MADISON POOL,O&G,INACTIVE,H,2006-10-01,2017-09-01,21739.0000,17392.0000,21015.0000,111746.0000,126.0000,0.0000,13,3,888,321.0000,2266,3615.0000,1615.0000,3884.0000,11133.0000,5729,2734,6185.0000,37.0000,19451,8873.0000,4366.0000,9601.0000,58.0000,34277.0000,13184.0000,8947.0000,14675.0000,64202.0000,88.0000,26.0000,12.0000,171000.0000,29.0000,0,10.0000,0,907,4313,7043,2006-10-10,,,470.00,3748.2640,1250.00,266.7900,2133.3000,0.0000,526.0000,111,888.0000,1,942.0000,,6.0000,,9625.00000,15063.00000,,40.000000,2006-10-08,1,1,127,(N/A),(N/A),15676,2006-07-30,15063.00000,,5438.00,FOREMAN BUTTE,ND,(N/A),WILLISTON,USA,13,150N,103W,,,,(N/A),P-500,47.8061264,-103.7981941,OASIS PETROLEUM NORTH AMERICA LLC,576.0000,2159.0000,7374.0000,116767862
33053027220000,"SAMSON OIL AND GAS USA, INC.",SCHMITZ,44-35HA,COM,MCKENZIE (ND),MADISON POOL,O&G,ACTIVE,H,2006-08-01,2018-02-01,30398.0000,101639.0000,106705.0000,469138.0000,640.0000,1.0000,7,19,68,525.0000,10046,10612.0000,4025.0000,11283.0000,55915.0000,21682,8475,23095.0000,139.0000,103981,35944.0000,16773.0000,38740.0000,232.0000,167060.0000,63943.0000,20024.0000,67280.0000,305964.0000,404.0000,71.0000,25.0000,452600.0000,75.0000,603,271.0000,1321,4684,2273,22637,2006-09-04,,,350.00,386.9960,300.00,2584.0060,2850.7000,2225.1000,775.0000,22,2433.0000,3,2550.0000,,15.0000,,9301.00000,14494.00000,,,2006-08-29,1,1,126,,,16218,2006-06-09,14494.00000,,5193.00,INDIAN HILL,ND,(N/A),WILLISTON,USA,35,153N,102W,,,,(N/A),P-500,48.0250654,-103.7583610,"SAMSON OIL AND GAS USA, INC",6398.0000,2476.0000,22506.0000,116767904
