time,r
2007-09-01 00:00:00,456
2007-10-01 00:00:00,436
2007-11-01 00:00:00,402
2007-12-01 00:00:00,401
2008-01-01 00:00:00,377
2008-02-01 00:00:00,347
2008-03-01 00:00:00,296
2008-04-01 00:00:00,239
2008-05-01 00:00:00,210
2008-06-01 00:00:00,190
2008-07-01 00:00:00,169
2008-08-01 00:00:00,158
2008-09-01 00:00:00,143
2008-10-01 00:00:00,138
2008-11-01 00:00:00,133
2008-12-01 00:00:00,158
2009-01-01 00:00:00,142
2009-02-01 00:00:00,123
2009-03-01 00:00:00,114
2009-04-01 00:00:00,112
2009-05-01 00:00:00,99
2009-06-01 00:00:00,101
2009-07-01 00:00:00,101
2009-08-01 00:00:00,104
2009-09-01 00:00:00,102
2009-10-01 00:00:00,100
2009-11-01 00:00:00,88
2009-12-01 00:00:00,92
2010-01-01 00:00:00,88
2010-02-01 00:00:00,89
2010-03-01 00:00:00,75
2010-04-01 00:00:00,75
2010-05-01 00:00:00,78
2010-06-01 00:00:00,66
2010-07-01 00:00:00,60
2010-08-01 00:00:00,74
2010-09-01 00:00:00,75
2010-10-01 00:00:00,64
2010-11-01 00:00:00,61
2010-12-01 00:00:00,68
2011-01-01 00:00:00,59
2011-02-01 00:00:00,55
2011-03-01 00:00:00,53
2011-04-01 00:00:00,58
2011-05-01 00:00:00,51
2011-06-01 00:00:00,49
2011-07-01 00:00:00,46
2011-08-01 00:00:00,41
2011-09-01 00:00:00,48
2011-10-01 00:00:00,50
2011-11-01 00:00:00,43
2011-12-01 00:00:00,46
2012-01-01 00:00:00,42
2012-02-01 00:00:00,38
2012-03-01 00:00:00,40
2012-04-01 00:00:00,42
2012-05-01 00:00:00,40
2012-06-01 00:00:00,33
2012-07-01 00:00:00,42
2012-08-01 00:00:00,37
2012-09-01 00:00:00,37
2012-10-01 00:00:00,36
2012-11-01 00:00:00,38
2012-12-01 00:00:00,36
2013-01-01 00:00:00,34
2013-02-01 00:00:00,33
2013-03-01 00:00:00,32
2013-04-01 00:00:00,30
2013-05-01 00:00:00,28
2013-06-01 00:00:00,32
2013-07-01 00:00:00,22
2013-08-01 00:00:00,29
2013-09-01 00:00:00,32
2013-10-01 00:00:00,28
2013-11-01 00:00:00,28
2013-12-01 00:00:00,36
2014-01-01 00:00:00,24
2014-02-01 00:00:00,28
2014-03-01 00:00:00,27
2014-04-01 00:00:00,27
2014-05-01 00:00:00,23
2014-06-01 00:00:00,17
2014-07-01 00:00:00,21
2014-08-01 00:00:00,35
2014-09-01 00:00:00,31
2014-10-01 00:00:00,29
2014-11-01 00:00:00,41
2014-12-01 00:00:00,37
2015-01-01 00:00:00,35
2015-02-01 00:00:00,31
2015-03-01 00:00:00,30
2015-04-01 00:00:00,34
2015-05-01 00:00:00,34
2015-06-01 00:00:00,30
2015-07-01 00:00:00,28
2015-08-01 00:00:00,31
2015-09-01 00:00:00,25
2015-10-01 00:00:00,29
2015-11-01 00:00:00,22
2015-12-01 00:00:00,17
2016-01-01 00:00:00,16
2016-02-01 00:00:00,14
2016-03-01 00:00:00,15
2016-04-01 00:00:00,12
2016-05-01 00:00:00,12
2016-06-01 00:00:00,12
2016-07-01 00:00:00,12
2016-08-01 00:00:00,12
2016-09-01 00:00:00,24
2016-10-01 00:00:00,24
2016-11-01 00:00:00,31
2016-12-01 00:00:00,28
2017-01-01 00:00:00,22
2017-02-01 00:00:00,24
2017-03-01 00:00:00,20
2017-04-01 00:00:00,21
2017-05-01 00:00:00,20
2017-06-01 00:00:00,19
2017-07-01 00:00:00,18
2017-08-01 00:00:00,20
2017-09-01 00:00:00,22
2017-10-01 00:00:00,20
2017-11-01 00:00:00,13
2017-12-01 00:00:00,12.39
2018-01-01 00:00:00,9.32
2018-02-01 00:00:00,10.71
